Source,Target,Weight,Type
"Absolute cognition","Being",1.0,undirected
"Absolute cognition","Mediation",4.0,undirected
"Absolute cognition","Moment",1.0,undirected
"Absolute cognition","Nature",1.0,undirected
"Absolute cognition","Reflection",1.0,undirected
"Absolute knowledge","Consciousness",1.0,undirected
"Absolute knowledge","Essence",1.0,undirected
"Absolute knowledge","Knowing",2.0,undirected
"Absolute knowledge","Mediation",2.0,undirected
"Absolute knowledge","Mind",1.0,undirected
"Absolute knowledge","Nature",1.0,undirected
"Absolute knowledge","Negation",1.0,undirected
"Absolute knowledge","Science",1.0,undirected
"Absolute knowledge","Work",1.0,undirected
"Abstraction","Actuality",1.0,undirected
"Abstraction","Alienation",3.0,undirected
"Abstraction","Antithesis",3.0,undirected
"Abstraction","Art",1.0,undirected
"Abstraction","Being",25.0,undirected
"Abstraction","Certainty",4.0,undirected
"Abstraction","Character",1.0,undirected
"Abstraction","Cohesion",1.0,undirected
"Abstraction","Community",1.0,undirected
"Abstraction","Conception",1.0,undirected
"Abstraction","Consciousness",15.0,undirected
"Abstraction","Content",10.0,undirected
"Abstraction","Cowardice",2.0,undirected
"Abstraction","Culture",1.0,undirected
"Abstraction","Death",3.0,undirected
"Abstraction","Devotion",2.0,undirected
"Abstraction","Dissolution",2.0,undirected
"Abstraction","Duty",7.0,undirected
"Abstraction","Emptiness",1.0,undirected
"Abstraction","Essence",23.0,undirected
"Abstraction","Existence",7.0,undirected
"Abstraction","Externality",1.0,undirected
"Abstraction","Extreme",2.0,undirected
"Abstraction","Faith",1.0,undirected
"Abstraction","Force",1.0,undirected
"Abstraction","Forms",4.0,undirected
"Abstraction","Gravity",1.0,undirected
"Abstraction","Hand",2.0,undirected
"Abstraction","Honour",1.0,undirected
"Abstraction","Idea",2.0,undirected
"Abstraction","Identity",4.0,undirected
"Abstraction","Immediacy",1.0,undirected
"Abstraction","Individuality",4.0,undirected
"Abstraction","Infinity",1.0,undirected
"Abstraction","Intension",1.0,undirected
"Abstraction","Kingdom",1.0,undirected
"Abstraction","Knowing",2.0,undirected
"Abstraction","Matter",3.0,undirected
"Abstraction","Mediation",1.0,undirected
"Abstraction","Mind",1.0,undirected
"Abstraction","Moment",6.0,undirected
"Abstraction","Morality",1.0,undirected
"Abstraction","Motion",1.0,undirected
"Abstraction","Movement",7.0,undirected
"Abstraction","Multiplicity",2.0,undirected
"Abstraction","Nature",4.0,undirected
"Abstraction","Negation",4.0,undirected
"Abstraction","Negativity",4.0,undirected
"Abstraction","Nothingness",3.0,undirected
"Abstraction","Notion",9.0,undirected
"Abstraction","Object",2.0,undirected
"Abstraction","Otherness",2.0,undirected
"Abstraction","Perception",3.0,undirected
"Abstraction","Perversion",1.0,undirected
"Abstraction","Positive",2.0,undirected
"Abstraction","Possession",2.0,undirected
"Abstraction","Power",3.0,undirected
"Abstraction","Principle",1.0,undirected
"Abstraction","Property",1.0,undirected
"Abstraction","Purity",3.0,undirected
"Abstraction","Quality",1.0,undirected
"Abstraction","Reality",12.0,undirected
"Abstraction","Reason",2.0,undirected
"Abstraction","Recognition",1.0,undirected
"Abstraction","Sacrifice",1.0,undirected
"Abstraction","Scepticism",1.0,undirected
"Abstraction","Self-conscious",1.0,undirected
"Abstraction","Sense",2.0,undirected
"Abstraction","Shape",2.0,undirected
"Abstraction","Simplicity",1.0,undirected
"Abstraction","Soul",1.0,undirected
"Abstraction","Spirit",6.0,undirected
"Abstraction","Stoicism",3.0,undirected
"Abstraction","Subject",1.0,undirected
"Abstraction","Subsistence",1.0,undirected
"Abstraction","Substance",3.0,undirected
"Abstraction","Supersession",2.0,undirected
"Abstraction","Time",1.0,undirected
"Abstraction","Triumph",3.0,undirected
"Abstraction","Unchangeable",1.0,undirected
"Abstraction","Unconscious",1.0,undirected
"Abstraction","Unity",2.0,undirected
"Abstraction","Universality",5.0,undirected
"Abstraction","Virtue",3.0,undirected
"Abstraction","Work",2.0,undirected
"Abstraction","World",6.0,undirected
"Abyss","Content",1.0,undirected
"Abyss","Depth",1.0,undirected
"Abyss","Fate",1.0,undirected
"Abyss","Hand",2.0,undirected
"Abyss","Law",1.0,undirected
"Abyss","Movement",1.0,undirected
"Abyss","Nature",1.0,undirected
"Abyss","Order",2.0,undirected
"Abyss","Spirit",1.0,undirected
"Abyss","Substance",1.0,undirected
"Acknowledgement","Actuality",2.0,undirected
"Acknowledgement","Antigone",1.0,undirected
"Acknowledgement","Antithesis",1.0,undirected
"Acknowledgement","Authority",2.0,undirected
"Acknowledgement","Consciousness",3.0,undirected
"Acknowledgement","Content",1.0,undirected
"Acknowledgement","Essence",1.0,undirected
"Acknowledgement","Existence",1.0,undirected
"Acknowledgement","Identity",1.0,undirected
"Acknowledgement","Power",1.0,undirected
"Acknowledgement","Reality",1.0,undirected
"Acknowledgement","Renunciation",1.0,undirected
"Acknowledgement","Time",1.0,undirected
"Acquaintance","Certainty",1.0,undirected
"Acquaintance","Evil",1.0,undirected
"Acquaintance","Instrument",1.0,undirected
"Acquaintance","Irritability",1.0,undirected
"Acquaintance","Nature",1.0,undirected
"Acquaintance","Relationship",1.0,undirected
"Acquaintance","Reproduction",1.0,undirected
"Acquaintance","Scepticism",1.0,undirected
"Acquaintance","Sensibility",1.0,undirected
"Acquaintance","Understanding",1.0,undirected
"Action","Actuality",26.0,undirected
"Action","Animal",1.0,undirected
"Action","Antigone",1.0,undirected
"Action","Antithesis",20.0,undirected
"Action","Arena",1.0,undirected
"Action","Artificer",2.0,undirected
"Action","Being",102.0,undirected
"Action","Blood",2.0,undirected
"Action","bondsman",4.0,undirected
"Action","Brother",1.0,undirected
"Action","Certainty",9.0,undirected
"Action","Character",13.0,undirected
